Title,Calories,Proteins,Fats,Carbohydrates
pizza hut пицца super supreme pizza на стандартном корже 12 дюймов,243,10.9,10.72,23.62
pizza hut пицца super supreme pizza на стандартном корже 14 дюймов,248,11.34,10.95,23.71
pizza hut пицца с паперони pepperoni pizza на стандартном корже 12 дюймов,280,12.86,11.38,29.85
pizza hut пицца с паперони pepperoni pizza на стандартном корже 14 дюймов,291,12.23,12.63,29.51
pizza hut пицца с паперони pepperoni pizza на толстом корже 12 дюймов,298,11.97,14.21,28.69
pizza hut пицца с паперони pepperoni pizza на толстом корже 14 дюймов,291,11.47,13.07,29.79
pizza hut сырная пицца cheese pizza на стандартном корже 12 дюймов,271,11.93,10.89,29.42
pizza hut сырная пицца cheese pizza на стандартном корже 14 дюймов,275,11.98,10.42,31.02
pizza hut сырная пицца cheese pizza на толстом корже 12 дюймов,280,11.73,12.56,28.23
pizza hut сырная пицца cheese pizza на толстом корже 14 дюймов,276,10.85,11.25,30.75
pizza hut сырная пицца cheese pizza на тонком хрустящем корже 12 дюймов,303,15.29,14.1,27.04
pizza hut сырная пицца cheese pizza на тонком хрустящем корже 14 дюймов,306,13.37,12.8,31.82
popeyes бисквит информация состоянием на ноябрь 2007,401,6,23.71,37.15
popeyes жареная в панировке курица бедра мясо и шкурка информация состоянием на январь 2007,310,19.14,20.99,10.7
popeyes жареная в панировке курица грудка мясо и шкурка информация состоянием на январь 2007,274,21.67,16.47,9.43
popeyes жареная в панировке курица крылышки мясо и шкурка информация состоянием на  январь 2007,338,20.4,22.48,12.92
popeyes жареная в панировке курица ножки мясо и шкурка острые информация состоянием на  январь 2007,293,20.44,19.14,9.84
popeyes жареная в панировке курица шкурка информация состоянием на  январь 2007,433,13.96,32.32,20.54
popeyes жареная курица бедра только мясо информация состоянием на  январь 2007,188,24.31,9.66,0.85
popeyes жареная курица грудка только мясо информация состоянием на  январь 2007,157,28.98,4.52,0
popeyes жареная курица крылышки только мясо информация состоянием на  январь 2007,212,28.94,9.42,2.9
popeyes жареная курица ножки только мясо информация состоянием на  январь 2007,170,26.51,7.14,0.04
popeyes куринные полосочки информация состоянием на  2006 год,271,19.2,13.01,18.51
popeyes острые куринные полосочки информация состоянием на  2006 год,253,19.61,11.2,17.32
popeyes салат из капусты,161,0.98,11.18,12.42
taco bell буррито supreme с говядиной,183,07.03,6.8,19.67
taco bell буррито supreme с курицей,179,9.84,6.42,18.11
taco bell буррито supreme со стейком,183,9.13,7.27,17.92
taco bell буррито с бобами,209,7.35,06.05,27.03
taco bell мягкое тако тако с пшеничной лепешкой с говядиной,206,9.25,9.75,17.33
taco bell мягкое тако тако с пшеничной лепешкой с курицей,189,13.3,6.35,18.49
taco bell мягкое тако тако с пшеничной лепешкой со стейком,225,11.81,12.1,15.62
taco bell начо картофельные чипсы,350,4.32,21.5,31.71
taco bell начо картофельные чипсы с соусом сюприм,246,7.59,13.65,23.09
taco bell оригинальное тако с говядиной,229,8.86,12.7,15.95
taco bell салат тако,170,6.69,9.17,12.1
wendys гамбургер classic single без сыра,213,12.63,10.6,15.52
wendys гамбургер classic single с сыром,221,14.87,11.6,12.8
wendys гамбургер jr hamburger без сыра,243,12.62,8.75,26.75
wendys гамбургер jr hamburger с сыром,256,13.06,11.5,23.57
wendys замороженные десерты на каждый день frosty dairy dessert,132,3.49,2.6,20.32
wendys классический двойной сэндвич classic double с сыром,241,16.52,14.2,10.61
wendys куринные нагетсы,326,16.46,22.55,14.31
wendys сэндвич с куриным филе подомашнему homestyle chicken fillet sandwich,214,13.78,8.1,20.25
wendys сэндвич с куриным филе приготовленным на гриле ultimate chicken grill sandwich,179,14.73,5,17.78
легкое мягкое мороженое смешанное с конфетами из молочного шоколада,182,04.02,6.46,26.62
легкое мягкое мороженое смешанное с кусочками печенья,169,3.97,5.66,25.45
макдональдс бэкон ранч салат без цыпленка,61,4.14,3.64,2.7
макдональдс бэкон ранч салат с цыпленком гриль,81,10.28,3.14,2.64
макдональдс сайд салат,20,01.03,0.19,2.7
пицца с мясом и овощами на растущем корже замороженная приготовленная,271,12.63,11.75,26.48
пицца с мясом и овощами на стандартном корже замороженная приготовленная,276,11.28,14.43,22.94
пицца с паперони на стандартном корже замороженная приготовленная,274,14.38,13.13,22.69
пицца с сыром замороженная приготовленная,268,10.36,12.28,26.82
пицца с сыром на растущем корже замороженная приготовленная,260,12.37,8.78,30.41
сэндвич с сосиской sausage griddle cake sandwich,318,8.41,17.76,30.25
сэндвич с яйцом сыром и беконом griddle cak,272,12.03,13.19,25.39
сэндвич с яйцом сыром и сосиской griddle cak,291,10.77,17.73,21.44
фаст фуд жареный цыпленок бедрышки мясо с кожицей в панировке,274,19.23,18.07,8.58
фаст фуд жареный цыпленок бедрышки только мясо без кожицы и без панировки,178,23.21,9.41,0.24
фаст фуд жареный цыпленок голень мясо с кожицей в панировке,267,21.13,16.92,07.09
фаст фуд жареный цыпленок голень только мясо без кожицы и без панировки,172,26.24,7.41,0
фаст фуд жареный цыпленок грудки только мясо без кожицы и без панировки,153,27.93,4.54,0
фаст фуд жареный цыпленок кожа в панировке,398,14.11,29.22,19.26
фаст фуд жареный цыпленок крылышки мясо с кожицей в панировке,310,21.14,20.09,11.09
фаст фуд жареный цыпленок крылышки только мясо без кожицы и без панировки,215,28.77,10.2,2.13
фаст фуд клаб сэндвич трехслойный с курицейгриль беконом томатами сыром салатом и майонезом,220,17.19,08.05,18.67
фаст фуд клаб сэндвич трехслойный с хрустящей курицей беконом томатами сыром салатом и майонезом,257,15.38,11.76,21.41
фастфуд английский кекс с сыром и сосиской,338,13.28,20.67,24.78
фастфуд английский кекс с яйцом сыром и канадским беконом,228,13.64,9.66,21.27
фастфуд английский кекс с яйцом сыром и сосиской,286,13.38,18.1,17.24
фастфуд бисквит с ветчиной,342,11.85,16.3,38.05
фастфуд бисквит с сосиской,371,9.67,24.42,29.59
фастфуд бисквит с яйцом и беконом,305,11.33,20.73,18.56
фастфуд бисквит с яйцом и ветчиной,233,10.64,14.08,15.97
фастфуд бисквит с яйцом и сосиской,312,11.13,20.77,20.85
фастфуд бисквит с яйцом сыром и сосиской,301,12.01,17.48,24.24
фастфуд бублик с отбивной яйцом и сыром приправленный,295,12.98,16.97,22.44
фастфуд бублик со стейком яйцом и сыром приправленный,282,15.95,14.07,22.79
фастфуд буррито с бобами,206,6.48,6.22,32.92
фастфуд буррито с бобами и мясом,191,11.52,7.47,16.52
фастфуд буррито с бобами и сыром,205,7.35,06.05,27.03
фастфуд буррито с бобами сыром и говядиной,180,07.03,6.8,19.67
фастфуд гамбургер большой с одной котлетой приправленный,256,15.68,11.6,21.04
фастфуд гамбургер двойной с большой котлетой овощами и майонезом приправленный,252,13.94,15.66,12.34
фастфуд гамбургер двойной с одной стандартной котлетой с приправами и фирменным соусом,259,12.17,13.3,21.29
фастфуд гамбургер с одной большой котлетой овощами и майонезом приправленный,226,11.34,12.37,15.83
фастфуд гамбургер с одной стандартной котлетой неприправленный,297,16.52,12.01,29.8
фастфуд гамбургер с одной стандартной котлетой приправленный,263,13.3,10.18,27.77
фастфуд гренки пофранцузски,340,6,17.74,39.81
фастфуд драники,272,2.58,17.04,26.18
фастфуд картошка фри жаренная в растительном масле,312,3.43,14.73,37.64
фастфуд картошкапюре,89,1.65,2.82,13.35
фастфуд креветки обжаренные в панировке,308,7.84,18.9,27.29
фастфуд круассан с яйцом сыром и беконом,289,12.92,16.4,21.5
фастфуд круассан с яйцом сыром и ветчиной,261,12.45,14.95,18.08
фастфуд круассан с яйцом сыром и сосиской,308,12.09,21.78,14.1
фастфуд кукурузные оладьи,296,6.16,13.25,37.31
фастфуд куриное филе,271,19.22,13.95,16.05
фастфуд курица обжаренная в панировке без костей неприправленная,307,15.92,20.36,14.03
фастфуд луковые кольца обжаренные в кляре,411,3.86,25.23,40.88
фастфуд миниатюрные коричные рулеты,403,07.02,17.95,51.18
фастфуд мягкое ванильное молочное мороженое в рожке,163,4.24,4.86,26.26
фастфуд начо с сыром,343,4.32,21.5,31.71
фастфуд начо с сыром бобами говяжьим фаршем и перцем,219,6.21,12.48,17.69
фастфуд пицца с мясом и овощами на стандартном корже 14 дюймов,244,11.02,10.9,23.18
фастфуд пицца с паперони на стандартном корже 14 дюймов,282,11.74,11.91,29.68
фастфуд пицца с паперони на толстом корже 14 дюймов,287,11.49,12.58,29.64
фастфуд пицца с сыром на стандартном корже 14 дюймов,266,11.39,9.69,31.03
фастфуд пицца с сыром на толстом корже 14 дюймов,271,10.81,10.54,30.97
фастфуд пицца с сыром на тонком корже 14 дюймов,302,12.85,13.95,28.7
фастфуд пломбир с горячей помадкой,180,3.57,5.46,30.17
фастфуд пломбир с карамелью,196,4.71,5.98,31.81
фастфуд пломбир с клубникой,175,04.09,5.13,29.18
фастфуд рыбный сэндвич с соусом тартар,257,10.29,12.45,25.69
фастфуд рыбный сэндвич с соусом тартар и сыром,279,11.26,14.64,25.59
фастфуд салат из капусты,153,0.95,9.91,12.99
фастфуд сэндвич субмарина с мясной нарезкой,213,10.52,10.04,19.23
фастфуд сэндвич субмарина с ростбифом,190,13.26,6,20.51
фастфуд сэндвич субмарина с салатом из тунца,228,11.6,10.93,21.63
фастфуд сэндвич с куриным филе неприправленный,283,13.25,16.18,21.26
фастфуд сэндвич с поджаренным куриным филе латуком томатами и майонезом,276,10.94,13.59,26
фастфуд сэндвич с ростбифом неприправленный,244,15.17,10.3,20.91
фастфуд тако,226,8.86,12.7,15.95
фастфуд чизбургер двойной с большой котлетой овощами и майонезом приправленный,253,15.5,15.63,11.32
фастфуд чизбургер двойной с большой котлетой приправленный,272,16.96,16.22,13.43
фастфуд чизбургер двойной со стандартной котлетой приправленный,282,16.24,16.18,17.07
фастфуд чизбургер двойной со стандартной котлетой с приправами и фирменным соусом,261,11.94,14.1,20.13
фастфуд чизбургер с большой котлетой неприправленный,310,17.29,15.97,22.37
фастфуд чизбургер с большой котлетой овощами и майонезом приправленный,268,13.69,15.8,16.63
фастфуд чизбургер с большой котлетой приправленный,269,15.21,14.4,18.52
фастфуд чизбургер со стандартной котлетой и овощами приправленный,254,13.06,11.5,23.57
фастфуд чизбургер со стандартной котлетой неприправленный,308,16.51,14.72,26.03
фастфуд чизбургер со стандартной котлетой приправленный,270,13.49,12.9,23.56
фастфуд чизбургер стандартный с двумя котлетами и булочками неприправленный,305,15.13,13.93,29.89
фастфуд яичницаболтунья,212,13.84,16.18,02.08
абрикосовое пюре,60,1.2,0,13.9
абрикосовый джем,276,0.5,0,71.6
абрикосовый компот консервы,89,0.2,0.08,21.7
абрикосы,44,0.9,0.1,9
абрикосы,48,1.4,0.39,9.12
абрикосы без кожуры консервированные в водной заливке,22,0.69,0.03,4.38
абрикосы без кожуры консервированные в насыщенном сахарном сиропе,83,0.51,0.09,19.85
абрикосы без кожуры консервированные в экстранасыщенном сахарном сиропе,96,0.55,0.04,23.25
абрикосы замороженные подслащенные,98,0.7,0.1,22.9
абрикосы сушеные,241,3.39,0.51,55.34
абрикосы сушеные дегидрированные сульфитированные неприготовленные,320,4.9,0.62,82.89
абрикосы сушеные дегидрированные сульфитированные тушеные,126,1.93,0.24,32.62
абрикосы сушеные курага тушеные без сахара,85,1.2,0.18,19.55
абрикосы сушеные курага тушеные с сахаром,113,1.17,0.15,25.16
абрикосы сушеные с косточкой урюк,242,5,0.4,53
абрикосы консервированные половинки или кусочки,85,0.5,0,21
абрикосы консервированные в водной заливке,27,0.71,0.16,4.79
абрикосы консервированные в легком сахарном сиропе,63,0.53,0.05,14.89
абрикосы консервированные в насыщенном сахарном сиропе,83,0.64,0.11,18.61
абрикосы консервированные в насыщенном сахарном сиропе,83,0.53,0.08,19.87
абрикосы консервированные в экстралегком сахарном сиропе,49,0.6,0.1,10.9
айва,48,0.6,0.5,9.6
айва,57,0.4,0.1,13.4
айвовый компот консервы,82,0.4,0.3,19.7
актинидия  дальневосточное киви,56,0,0,13
ананас,52,0.3,0.1,11.8
ананас замороженный подслащенный,86,0.4,0.1,21.1
ананас все сорта,50,0.54,0.12,11.72
ананас консервированный в водной заливке,32,0.43,0.09,7.5
ананас консервированный в легком сахарном сиропе,52,0.36,0.12,12.65
ананас консервированный в насыщенном сахарном сиропе,78,0.35,0.11,19.4
ананас консервированный в собственном соку,60,0.51,0.11,14.26
ананас консервированный в экстранасыщенном сахарном сиропе,83,0.34,0.11,20.7
ананас несладкие сорта,45,0.55,0.13,11.82
ананас сладкие сорта,51,0.53,0.11,12.1
аннона сетчатая кремовое яблоко бычье сердце,101,1.7,0.6,22.8
апельсин,43,0.9,0.2,8.1
апельсин валенсийский калифорния,49,01.04,0.3,9.39
апельсин пупочный сорт навел,49,0.91,0.15,10.34
апельсин с цедрой,63,1.3,0.3,11
апельсин флорида,46,0.7,0.21,9.14
апельсин все сорта,47,0.94,0.12,9.35
апельсиновая цедра сырая,97,1.5,0.2,14.4
апельсиновый джем,268,0.4,0.1,66.3
арбуз,27,0.7,0.1,5.8
арбуз сырой,30,0.61,0.15,7.15
ацерола барбадосская вишня,32,0.4,0.3,6.59
банан,96,1.5,0.5,21
бананы,89,01.09,0.33,20.24
бананы высушенные дегидрированные или банановый порошок,346,3.89,1.81,78.38
барбарис,84,4.5,4.7,3.5
бойзенова ягода замороженная неподслащенная,50,1.1,0.26,6.89
бойзенова ягода консервированная в насыщенном сахарном сиропе,88,0.99,0.12,19.71
боярышник кровавокрасный,62,1.12,0,14.2
брусника,46,0.7,0.5,8.2
бузина,73,0.66,0.5,11.4
бузина сырая,73,0.66,0.5,11.4
вакциниум сетчатый охело ,28,0.38,0.22,6.84
варенье из айвы,273,0.4,0.2,70.6
варенье из груши,273,0.3,0.2,70.8
варенье из кизила,274,0.4,0,72.3
варенье из клубники,285,0.3,0.1,74
варенье из малины,273,0.6,0.2,70.4
варенье из мандаринов,294,0.7,0.2,75.9
варенье из персиков,258,0.5,0,66.8
варенье из рябины черноплодной,387,0.4,0,74.8
варенье из сливы,288,0.4,0.3,74.2
варенье из яблок,265,0.4,0.3,68.2
виноград,72,0.6,0.6,15.4
виноград американский с грубой кожурой,67,0.63,0.35,16.25
виноград кишмиш консервированный в водной заливке,40,0.5,0.11,9.7
виноград кишмиш консервированный в насыщенном сахарном сиропе,76,0.48,0.1,19.05
виноград красный или белый европейский например кишмиш,69,0.72,0.16,17.2
виноград мускатный,57,0.81,0.47,10.03
вишневый компот консервы,101,0.6,0.3,23.7
вишня,52,0.8,0.2,10.6
вишня,50,1,0.3,10.58
вишня войлочная,39,0,0,9
вишня замороженная неподслащенная,46,0.92,0.44,9.42
вишня коктейльная консервированная,165,0.22,0.21,38.77
вишня монморанси сушеная подслащенная,333,1.25,0.73,77.95
вишня консервированная в водной заливке,36,0.77,0.1,7.84
вишня консервированная в водной заливке содержимое без жидкости,42,0.69,0.21,9.25
вишня консервированная в легком сахарном сиропе,75,0.74,0.1,18.5
вишня консервированная в насыщенном сахарном сиропе,91,0.73,0.1,22.17
вишня консервированная в экстранасыщенном сахарном сиропе,114,0.71,0.09,28.43
голубика,39,1,0.5,6.6
гранат,72,0.7,0.6,14.5
гранат,83,1.67,1.17,14.7
грейпфрут,35,0.7,0.2,6.5
грейпфрут белый,33,0.69,0.1,7.31
грейпфрут белый калифорнийский,37,0.88,0.1,09.09
грейпфрут белый флоридский,32,0.63,0.1,8.19
грейпфрут розовый и красный,42,0.77,0.14,09.06
грейпфрут розовый и красный калифорнийский и аризонский,37,0.5,0.1,9.69
грейпфрут розовый и красный флоридский,30,0.55,0.1,6.4
грейпфрут все виды,32,0.63,0.1,6.98
грейпфрут консервированный в водной заливке,36,0.58,0.1,8.75
грейпфрут консервированный в легком сахарном сиропе,60,0.56,0.1,15.04
грейпфрут консервированный в собственном соку,37,0.7,0.09,8.81
груша,57,0.36,0.14,12.13
груша,47,0.4,0.3,10.3
груша азиатская китайская,42,0.5,0.23,07.05
груша анжу зеленая,66,0.44,0.1,12.69
груша анжу красная,62,0.33,0.14,11.94
груша бартлетт вильямс дюшес,63,0.39,0.16,11.91
груша бере боск,67,0.36,0.09,13
груша сушеная,270,2.3,0.6,62.6
грушевый компот консервы,74,0.2,0.2,18.1
груши сушеные,262,1.87,0.63,62.2
груши сушеные тушеные без сахара,127,0.91,0.31,27.41
груши сушеные тушеные с сахаром,140,0.86,0.29,31.34
груши консервированные в водной заливке,29,0.19,0.03,6.21
груши консервированные в легком сахарном сиропе,57,0.19,0.03,13.57
груши консервированные в насыщенном сахарном сиропе,74,0.2,0.13,17.57
груши консервированные в насыщенном сахарном сиропе сухой продукт,74,0.24,0.18,16.38
груши консервированные в собственном соку,50,0.34,0.07,11.34
груши консервированные в экстралегком сахарном сиропе,47,0.3,0.1,10.6
груши консервированные в экстранасыщенном сахарном сиропе,97,0.19,0.13,23.65
гуава,68,2.55,0.95,8.92
гуава земляничная,69,0.58,0.6,11.96
гуава соус приготовленный,36,0.32,0.14,5.88
джамболан ямболан сырой,60,0.72,0.23,15.56
джекфрут консервированный в сахарном сиропе,92,0.36,0.14,23.04
джекфрут сырой,95,1.72,0.64,21.75
дуриан,147,1.47,5.33,23.29
дыня,35,0.6,0.3,7.4
дыня белая мускатная,36,0.54,0.14,8.29
дыня замороженная шарики,33,0.84,0.25,7.24
дыня зимняя кассаба,28,1.11,0.1,5.68
дыня мускусная канталупа,34,0.84,0.19,7.26
дыня рогатая кивано огурец африканский,44,1.78,1.26,7.56
ежевика,34,1.5,0.5,4.4
ежевика,43,1.39,0.49,4.31
ежевика дикая аляска,52,0.84,01.07,6.64
ежевика замороженная неподслащенная,64,1.18,0.43,10.67
ежевика консервированная в насыщенном сахарном сиропе,92,1.31,0.14,19.7
жимолость,41.2,0,0,8.5
изюм без косточек из винограда кишмиш,281,2.3,0.5,71.2
изюм с косточками,296,2.52,0.54,71.67
изюм с косточками виноград сушеный,276,1.8,0.54,70.9
изюм чёрный без косточек коринка из винограда черный коринф,290,3.43,0.22,72.58
изюм без косточек,299,3.3,0.25,74.82
изюм золотистый без косточек,301,3.28,0.2,76.72
инжир,54,0.7,0.2,12
инжир,74,0.75,0.3,16.28
инжир сушеный,257,3.1,0.8,57.9
инжир сушеный,249,3.3,0.93,54.07
инжир сушеный подслащенный,107,1.42,0.4,23.37
инжир консервированный в водной заливке,53,0.4,0.1,11.79
инжир консервированный в легком сахарном сиропе,69,0.39,0.1,16.15
инжир консервированный в насыщенном сахарном сиропе,88,0.38,0.1,20.7
инжир консервированный в экстранасыщенном сахарном сиропе,107,0.38,0.1,27.86
ирга,47,0,0,11.4
калина,26.3,0.37,1.5,6.5
карамбола сырая,31,01.04,0.33,3.93
карисса сырая,62,0.5,1.3,13.63
келуак кепаянг,111,2.3,2,17.7
киви,47,0.8,0.4,8.1
киви zespri санголд новозеландское,63,01.02,0.28,14.39
киви свежее,61,1.14,0.52,11.66
киви джем,243,0.4,0.2,58.9
киви пюре,47,0.8,0.4,8.2
кизил,45,1,0.011,9
клементины,47,0.85,0.15,10.32
клубника,41,0.8,0.4,7.5
клубника замороженная,35,0.43,0.11,07.03
клубника ломтиками замороженная подслащенная,96,0.53,0.13,24.02
клубника сырая,32,0.67,0.3,5.68
клубничный компот клубника консервированная в сахарном сиропе,92,0.56,0.26,21.83
клюква,28,0.5,0.2,3.7
клюква,46,0.46,0.13,8.37
клюква сушеная подслащенная,308,0.17,01.09,77.5
клюквенноапельсиновый соус консервированный,178,0.3,0.1,46.2
клюквенный соус желеобразный консервированный ocean spray,160,01.05,0.04,39.61
клюквенный соус с цельными ягодами консервированный ocean spray,158,0.75,0.05,39.2
клюквенный соус консервированный подслащенный,159,0.9,0.15,39.3
компот из земляники консервы,0,0,0,0
компот из слив венгерка консервы,96,0.5,0.1,23.9
компот из слив ренклод консервы,86,0.3,0,21.9
концентрат малинового сока,221,03.04,1.34,52.09
кратева священная,69,1.5,0.1,12.3
крыжовник,45,0.7,0.2,9.1
крыжовник,44,0.88,0.58,5.88
крыжовник консервированный в легком сахарном сиропе,73,0.65,0.2,16.35
кумкват,71,1.88,0.86,9.4
курага абрикосы сушеные без косточки,232,5.2,0.3,51
лайм,30,0.7,0.2,7.74
лимон,34,0.9,0.1,3
лимон без цедры сырые,29,1.1,0.3,6.52
лимонная цедра сырая,47,1.5,0.3,5.4
лимонник китайский ягоды высушенные с семенами,416,0,40.3,13.3
лимонник китайский ягоды свежие без семян,47,0,0,2.2
личи,66,0.83,0.44,15.23
личи сушеные,277,3.8,1.2,66.1
логанова ягода мороженная,55,1.52,0.31,7.72
лонган,60,1.31,0.1,14.04
лонган сушеный,286,4.9,0.4,74
малайское яблоко ямбоза,25,0.6,0.3,5.7
малина,52,1.2,0.65,5.44
малина,46,0.8,0.5,8.3
малина дикая индейцы северных великих равнин,62,1.12,0.28,6.35
малина красная замороженная,56,1.15,0.81,8.25
малина красная замороженная подслащенная,103,0.7,0.16,21.76
малина красная консервированная в насыщенном сахарном сиропе,91,0.83,0.12,20.06
малиновое пюре без семян без сахара,41,01.02,0.87,07.09
малиновое пюре с семенами без сахара,55,1.1,0.97,7.21
мамея маммея антильский абрикос сырой,51,0.5,0.5,9.5
манго,60,0.82,0.38,13.38
манго сушеное подслащенное,319,2.45,1.18,76.18
мангостан мангустин консервированный в сиропе,73,0.41,0.58,16.11
мандарин,53,0.81,0.31,11.54
мандарин,38,0.8,0.2,7.5
мандарин консервированный в легком сахарном сиропе,61,0.45,0.1,15.49
мандарин консервированный в собственном соку,37,0.62,0.03,8.87
мандарин консервированный в собственном соку сухой продукт,38,0.75,0.04,8.21
мандариновый джем,276,0.3,0,71.8
маракуйя пурпурная гранадилла,97,2.2,0.7,12.98
можжевельник шишкоягоды,130,0,0,28.7
морошка,40,0.8,0.9,7.4
морошка аляска,51,2.4,0.8,8.6
мушмула,47,0.43,0.2,10.44
нансе фрукт бирсонима толстолистная замороженный,73,0.66,1.16,9.47
нансе фрукт бирсонима толстолистная консервированный в сиропе,95,0.56,1.28,15.79
наранхилла замороженная,25,0.44,0.22,4.8
нектарин,44,01.06,0.32,8.85
облепиха,82,1.2,5.4,5.7
опунция колючая груша,41,0.73,0.51,5.97
папайя,43,0.47,0.26,9.12
папайя консервированная в насыщенном сиропе,206,0.14,0.55,54.33
пектин жидкий,11,0,0,0
персик,45,0.9,0.1,9.5
персик,39,0.91,0.25,08.04
персик сушеный,254,3,0.4,57.7
персики ломтиками замороженные подслащенные,94,0.63,0.13,22.18
персики сушеные,239,3.61,0.76,53.13
персики сушеные дегидрированные,325,4.89,01.03,83.18
персики сушеные дегидрированные тушеные,133,02.01,0.42,34.14
персики сушеные тушеные без сахара,77,1.16,0.25,16.99
персики сушеные тушеные с сахаром,103,01.06,0.22,24.2
персики консервированные в водной заливке,24,0.44,0.06,4.81
персики консервированные в легком сиропе,54,0.45,0.03,13.25
персики консервированные в насыщенном сиропе,74,0.45,0.1,18.64
персики консервированные в насыщенном сиропе приправленные,75,0.41,0.1,18.78
персики консервированные в насыщенном сиропе сухой продукт,72,0.52,0.18,17.23
персики консервированные в собственном соку,44,0.63,0.03,10.27
персики консервированные в экстралегком сиропе,42,0.4,0.1,10.1
персики консервированные в экстранасыщенном сиропе,96,0.47,0.03,25.06
персиковый компот консервы,88,0.3,0.1,21.6
питанга суринамская вишня сырая,33,0.8,0.4,7.49
плантан овощной банан жёлтый жареный латинский ресторан,236,1.42,7.51,37.57
плантан овощной банан жёлтый приготовленный,155,1.52,0.16,39.17
плантан овощной банан жёлтый сырой,122,1.3,0.35,30.19
плантан овощной банан зелёный жареный,309,1.5,11.81,45.67
плантан овощной банан зелёный вареный,121,01.09,0.08,26.55
плантан овощной банан зелёный сырой,152,1.25,0.07,34.46
плоды хлебного дерева сырые,103,01.07,0.23,22.22
помело,38,0.76,0.04,8.62
порошок из плодов баобаба,250,3.69,0.47,35.15
рамбутан консервированный в сахарном сиропе,82,0.65,0.21,19.97
ревень,21,0.9,0.2,2.74
ревень замороженный неприготовленный,21,0.55,0.11,3.3
ревень замороженный приготовленный с сахаром,116,0.39,0.05,29.2
розелла сырая,49,0.96,0.64,11.31
рябина садовая красная,50,1.4,0.2,8.9
рябина черноплодная,55,1.5,0.2,10.9
саподилла сырая,83,0.44,1.1,14.66
сапота мармеладный плод сырая,124,1.45,0.46,26.7
саусеп сметанное яблоко сырой,66,1,0.3,13.54
сахарные яблоки анона сырые,94,02.06,0.29,19.24
слива,46,0.7,0.28,10.02
слива садовая,49,0.8,0.3,9.6
слива вишненосная алыча,34,0.2,0.1,7.9
слива дикая североамериканская,91,0.43,0.17,15.95
слива мирабель желтая слива,40,1,0,7.5
слива синяя консервированная в водной заливке,41,0.39,0.01,10.13
слива синяя консервированная в легком сахарном сиропе,63,0.37,0.1,15.38
слива синяя консервированная в насыщенном сахарном сиропе,89,0.36,0.1,22.34
слива синяя консервированная в собственном соку,58,0.51,0.02,14.25
слива синяя консервированная в экстранасыщенном сахарном сиропе,101,0.36,0.1,25.31
сливы консервированные в насыщенном сиропе сухой продукт,89,0.44,0.14,21.62
смородина белая,42,0.5,0.2,8
смородина красная,43,0.6,0.2,7.7
смородина черная,44,1,0.4,7.3
смородина черная европейская,63,1.4,0.41,15.38
смородина красная и белая,56,1.4,0.2,9.5
тамаринд сырой,239,2.8,0.6,57.4
терн,54,1.5,0.3,9.4
фейхоа,61,0.71,0.42,8.81
физалис,53,1.9,0.7,11.2
финик королевский,277,1.81,0.15,68.27
финики,292,2.5,0.5,69.2
финики деглет нур,282,2.45,0.39,67.03
фруктовый коктейль персик ананас груша виноград и вишня консервированный в водной заливке,32,0.42,0.05,7.51
фруктовый коктейль персик ананас груша виноград и вишня консервированный в легком сахарном сиропе,57,0.4,0.07,13.93
фруктовый коктейль персик ананас груша виноград и вишня консервированный в насыщенном сахарном сиропе,73,0.39,0.07,17.91
фруктовый коктейль персик ананас груша виноград и вишня консервированный в собственном соку,46,0.46,0.01,10.86
фруктовый коктейль персик ананас груша виноград и вишня консервированный в экстралегком сахарном сиропе,45,0.4,0.07,10.53
фруктовый коктейль персик ананас груша виноград и вишня консервированный в экстранасыщенном сахарном сиропе,88,0.39,0.07,21.79
фруктовый коктейль консервированный в насыщенном сахарном сиропе сухой продукт,70,0.47,0.1,17.1
фруктовый салат ананас папайя банан и гуава консервированный в насыщенном сиропе,86,0.41,0.1,21.06
фруктовый салат персик груша абрикос ананас и вишня консервированный в водной заливке,30,0.35,0.07,6.87
фруктовый салат персик груша абрикос ананас и вишня консервированный в легком сиропе,58,0.34,0.07,14.14
фруктовый салат персик груша абрикос ананас и вишня консервированный в собственном соку,50,0.51,0.03,12.05
фруктовый салат персик груша абрикос ананас и вишня консервированный в экстранасыщенном сахарном сиропе,88,0.33,0.06,21.77
хурма,67,0.5,0.4,15.3
хурма виргинская американская,127,0.8,0.4,33.5
хурма восточная,70,0.58,0.19,14.99
хурма восточная сушеная,274,1.38,0.59,58.93
цукаты,322,0.34,0.07,81.14
черемуха,46,0,0,10
черёмуха виргинская североамериканская,162,03.04,1.69,13.62
черешневый компот консервы,87,0.5,0.2,20.6
черешня,63,01.06,0.2,13.91
черешня,52,1.1,0.4,10.6
черешня консервированная в водной заливке,46,0.77,0.13,10.26
черешня консервированная в легком сиропе,67,0.61,0.15,15.79
черешня консервированная в насыщенном сиропе,83,0.6,0.15,19.87
черешня консервированная в насыщенном сиропе сухой продукт,83,0.73,0.21,18.77
черешня консервированная в собственном соку,54,0.91,0.02,12.31
черешня консервированная в экстранасыщенном сиропе,102,0.59,0.15,24.73
черимойя,75,1.57,0.68,14.71
черника,57,0.74,0.33,12.09
черника,44,1.1,0.6,7.6
черника дикая аляска,61,1.22,0.76,9.71
черника дикая замороженная аляска,44,0.7,0,10.4
черника дикая замороженная,57,0,0.16,9.45
